country,lat,lng,category,value,description,,,
Greece,39.07,21.82,food_insecurity,12,Austerity-era food poverty has partially recovered; migrant populations face significant insecurity.,,,
Greece,39.07,21.82,poverty,18,About 19% at risk of poverty; persistent youth unemployment drives economic exclusion.,,,
Greece,39.07,21.82,disease,12,Low burden; aging population; cardiovascular disease is the primary concern.,,,
Greece,39.07,21.82,climate,38,Wildfires destroyed record areas in 2023; Thessaly flooding killed dozens in the same year.,,,
Grenada,12.11,-61.68,food_insecurity,12,Small island; food generally accessible; hurricane exposure creates periodic disruption.,,,
Grenada,12.11,-61.68,poverty,20,About 25% below the poverty line; economic diversification from nutmeg and tourism is proceeding.,,,
Grenada,12.11,-61.68,disease,15,Low burden; dengue is the primary infectious disease concern.,,,
Grenada,12.11,-61.68,climate,60,Hurricane risk is high; Irma and Maria highlighted the vulnerability of Eastern Caribbean islands.,,,
Guatemala,15.78,-90.23,food_insecurity,55,The Dry Corridor causes chronic malnutrition; nearly half of children under five are stunted.,,,
Guatemala,15.78,-90.23,poverty,58,About 48% below the national poverty line; Indigenous Maya communities face the highest rates.,,,
Guatemala,15.78,-90.23,disease,45,Moderate-high burden; cholera and dengue are endemic; malnutrition compounds child disease mortality.,,,
Guatemala,15.78,-90.23,climate,58,Drought in the Dry Corridor and hurricane flooding cause recurrent agricultural devastation.,,,
Guinea,11.4,-11.8,food_insecurity,58,Post-Ebola economic decline and agricultural underinvestment fuel persistent food insecurity.,,,
Guinea,11.4,-11.8,poverty,67,About 55% below the poverty line; bauxite wealth benefits elites while most remain poor.,,,
Guinea,11.4,-11.8,disease,70,Ground zero for 2014 Ebola epidemic; high malaria and waterborne disease burden persists.,,,
Guinea,11.4,-11.8,climate,55,Coastal degradation and irregular rainfall threaten rice cultivation and fishing communities.,,,
Guinea-Bissau,11.8,-15.18,food_insecurity,52,Political instability and cashew crop dependency make the population highly vulnerable to food shocks.,,,
Guinea-Bissau,11.8,-15.18,poverty,65,About 67% below $1.90/day; chronic political instability has prevented development.,,,
Guinea-Bissau,11.8,-15.18,disease,68,One of the world's highest malaria mortality rates; TB is widespread; healthcare is near-absent.,,,
Guinea-Bissau,11.8,-15.18,climate,60,Coastal flooding and saltwater intrusion are destroying the country's rice paddies.,,,
Guyana,4.86,-58.93,food_insecurity,18,Oil boom improving food access; Amerindian interior communities face persistent food insecurity.,,,
Guyana,4.86,-58.93,poverty,30,About 35% below the poverty line; oil revenues are beginning to transform infrastructure.,,,
Guyana,4.86,-58.93,disease,30,HIV rates are elevated; malaria is endemic in interior regions.,,,
Guyana,4.86,-58.93,climate,55,Low-lying coastal plain houses 90% of the population below sea level; flooding is chronic.,,,
Haiti,18.97,-72.29,food_insecurity,71,Gang violence has paralyzed food distribution; over 5 million face crisis-level hunger in 2024.,,,
Haiti,18.97,-72.29,poverty,65,About 60% below $2.15/day; political collapse has reversed decades of poverty reduction.,,,
Haiti,18.97,-72.29,disease,60,Cholera reintroduced in 2022; TB is the highest in the Western Hemisphere; gang violence limits healthcare.,,,
Haiti,18.97,-72.29,climate,65,Hurricane exposure combined with deforestation makes Haiti the most disaster-vulnerable Caribbean state.,,,
Honduras,15.2,-86.24,food_insecurity,40,The Dry Corridor drives chronic malnutrition; gang violence disrupts rural food supply chains.,,,
Honduras,15.2,-86.24,poverty,58,About 53% below the national poverty line; gang-driven displacement compounds rural poverty.,,,
Honduras,15.2,-86.24,disease,42,Dengue and Chagas disease are endemic; healthcare access is severely limited outside urban areas.,,,
Honduras,15.2,-86.24,climate,68,Hurricanes Eta and Iota caused $10bn in damage in 2020; flooding and landslides are worsening annually.,,,
Hungary,47.16,19.5,food_insecurity,8,EU member; food generally accessible; inflation has increased food poverty among low-income households.,,,
Hungary,47.16,19.5,poverty,14,About 12% at risk of poverty; Roma communities face extreme and persistent exclusion.,,,
Hungary,47.16,19.5,disease,18,Cardiovascular disease and cancer are leading killers; smoking rates are among Europe's highest.,,,
Hungary,47.16,19.5,climate,25,Danube flooding and summer drought are increasingly affecting agriculture.,,,
Iceland,64.96,-19.02,food_insecurity,3,Among the world's most food-secure nations; geothermal agriculture supports domestic production.,,,
Iceland,64.96,-19.02,poverty,5,Very low poverty; strong welfare state; no significant material deprivation.,,,
Iceland,64.96,-19.02,disease,4,Very low burden; one of the world's healthiest populations.,,,
Iceland,64.96,-19.02,climate,20,Rapidly retreating glaciers; Okjokull glacier declared extinct in 2019; fisheries shifting northward.,,,
India,20.59,78.96,food_insecurity,38,270 million food insecure; extreme heat waves are increasingly threatening harvests.,,,
India,20.59,78.96,poverty,29,Official extreme poverty below 10% but 230 million in moderate poverty; high regional disparity.,,,
India,20.59,78.96,disease,36,World's highest TB burden; significant regional disparities in healthcare access and outcomes.,,,
India,20.59,78.96,climate,52,Extreme heat killing thousands; Himalayan glaciers retreating; Bengali delta flooding intensifying.,,,
Indonesia,-0.79,113.92,food_insecurity,30,Stunting affects 24% of children; rural and island communities face access challenges.,,,
Indonesia,-0.79,113.92,poverty,28,About 9% below the national poverty line; Papua and NTT provinces face the highest rates.,,,
Indonesia,-0.79,113.92,disease,34,World's third-highest TB burden; dengue is hyperendemic; malaria in eastern provinces.,,,
Indonesia,-0.79,113.92,climate,54,Jakarta sinking while sea levels rise; wildfires in Sumatra and Kalimantan are catastrophic.,,,
Iran,32.43,53.69,food_insecurity,25,US sanctions and currency collapse have caused severe food price inflation for most Iranians.,,,
Iran,32.43,53.69,poverty,30,About 30% below the national poverty line; sanctions have driven living standards sharply lower.,,,
Iran,32.43,53.69,disease,22,Moderate burden; cardiovascular disease dominates; opium addiction is at epidemic levels.,,,
Iran,32.43,53.69,climate,48,Lake Urmia has nearly disappeared; water stress across the plateau is reaching crisis level.,,,
Iraq,33.22,43.68,food_insecurity,30,Post-ISIS reconstruction is incomplete; water scarcity is threatening agricultural livelihoods.,,,
Iraq,33.22,43.68,poverty,35,About 20% below the poverty line; southern and Sunni-majority areas face the highest rates.,,,
Iraq,33.22,43.68,disease,30,Moderate burden; water contamination drives waterborne disease; healthcare system is fragmented.,,,
Iraq,33.22,43.68,climate,55,Tigris-Euphrates flow has dropped 40% in 30 years; extreme heat reaching 50°C regularly.,,,
Ireland,53.41,-8.24,food_insecurity,4,Food generally secure; food bank demand has increased with housing and energy cost crises.,,,
Ireland,53.41,-8.24,poverty,9,About 12% at risk of poverty; housing crisis is the primary driver of deprivation.,,,
Ireland,53.41,-8.24,disease,7,Low burden; strong healthcare system; non-communicable diseases dominate.,,,
Ireland,53.41,-8.24,climate,20,Atlantic storm intensity is increasing; flooding of the Shannon River is a recurring emergency.,,,
Israel,31.05,34.85,food_insecurity,10,Generally food secure; Gaza conflict creates severe insecurity in Palestinian territories.,,,
Israel,31.05,34.85,poverty,15,About 22% below the poverty line; Arab and ultra-Orthodox communities face significantly higher rates.,,,
Israel,31.05,34.85,disease,8,Low burden; excellent healthcare system; chronic disease is the primary concern.,,,
Israel,31.05,34.85,climate,42,Eastern Mediterranean drying; water recycling is world-leading but demand is growing.,,,
Italy,41.87,12.57,food_insecurity,6,Generally food secure; food poverty affects southern Italy significantly more than the north.,,,
Italy,41.87,12.57,poverty,12,About 20% at risk of poverty; Mezzogiorno has structural poverty far above national average.,,,
Italy,41.87,12.57,disease,10,Low burden; aging population drives chronic disease; Mediterranean diet provides some protection.,,,
Italy,41.87,12.57,climate,32,Record heat and drought in 2022; Po Valley agriculture severely affected; Venice flooding.,,,
Jamaica,18.11,-77.3,food_insecurity,18,High food import dependency; hurricane disruption and poverty limit access for rural communities.,,,
Jamaica,18.11,-77.3,poverty,25,About 15% below the poverty line; high murder rates concentrate in poorest communities.,,,
Jamaica,18.11,-77.3,disease,22,HIV rates elevated; non-communicable diseases are the leading health burden.,,,
Jamaica,18.11,-77.3,climate,58,High hurricane exposure; coral reef bleaching threatens fisheries and coastal protection.,,,
Japan,36.2,138.25,food_insecurity,5,Food secure; child poverty is growing but food access is not significantly compromised.,,,
Japan,36.2,138.25,poverty,10,About 15% in relative poverty; child poverty and working poor are primary concerns.,,,
Japan,36.2,138.25,disease,8,Low burden; aging population drives chronic disease; universal healthcare is excellent.,,,
Japan,36.2,138.25,climate,35,Typhoon intensity increasing; extreme heat in summer; sea level rise threatening coastal megacities.,,,
Jordan,30.59,36.24,food_insecurity,25,Syrian refugee influx strains food systems; economic hardship limits nutritional diversity for the poor.,,,
Jordan,30.59,36.24,poverty,28,About 20% below the poverty line; refugee population adds 10 million people to a small economy.,,,
Jordan,30.59,36.24,disease,20,Moderate burden; non-communicable diseases dominate; refugee health burden is significant.,,,
Jordan,30.59,36.24,climate,50,One of the world's most water-scarce countries; rainfall declining and temperatures rising sharply.,,,
Kazakhstan,48.02,66.92,food_insecurity,12,Food generally secure; price shocks from Ukraine war have increased inflation and food costs.,,,
Kazakhstan,48.02,66.92,poverty,18,About 5% in extreme poverty; regional disparities are significant.,,,
Kazakhstan,48.02,66.92,disease,22,TB rates are high; cardiovascular disease is the leading killer; alcohol-related mortality is elevated.,,,
Kazakhstan,48.02,66.92,climate,40,Aral Sea desiccation is an ecological catastrophe; steppe drought cycles are intensifying.,,,
Kenya,-0.02,37.91,food_insecurity,54,Northern and eastern counties face severe stress after four consecutive failed rainy seasons.,,,
Kenya,-0.02,37.91,poverty,45,About 36% below the poverty line; northern and arid regions face extreme rural poverty.,,,
Kenya,-0.02,37.91,disease,56,HIV prevalence at 4.3%; malaria in western regions; TB rates high in Nairobi slums.,,,
Kenya,-0.02,37.91,climate,58,2022 drought was the worst in 40 years; erratic rainfall threatens smallholder farming across the country.,,,
Kiribati,1.87,157.36,food_insecurity,38,Saltwater intrusion is destroying taro gardens; fishing and food imports are under pressure.,,,
Kiribati,1.87,157.36,poverty,45,About 22% below the poverty line; remittances from overseas workers are the main income source.,,,
Kiribati,1.87,157.36,disease,40,Non-communicable diseases (diabetes, obesity) are at epidemic levels; TB is present.,,
Kiribati,1.87,157.36,climate,88,Existential threat from sea-level rise; the nation may become uninhabitable within decades.,,,
Kuwait,29.31,47.48,food_insecurity,8,Highly import-dependent but wealthy; strong subsidies prevent food insecurity among nationals.,,,
Kuwait,29.31,47.48,poverty,5,Very low poverty among nationals; migrant workers face exploitation and poor conditions.,,,
Kuwait,29.31,47.48,disease,12,High diabetes and obesity prevalence; non-communicable diseases are the primary health burden.,,,
Kuwait,29.31,47.48,climate,42,Among the world's hottest countries; extreme heat and water scarcity are structural vulnerabilities.,,,
Kyrgyzstan,41.2,74.77,food_insecurity,22,High food price inflation and poverty limit dietary diversity; remittance dependency creates vulnerability.,,,
Kyrgyzstan,41.2,74.77,poverty,32,About 20% below the national poverty line; rural southern Kyrgyzstan faces the highest rates.,,,
Kyrgyzstan,41.2,74.77,disease,28,TB rates are among the highest in the former Soviet Union; drug-resistant TB is a major concern.,,,
Kyrgyzstan,41.2,74.77,climate,45,Tian Shan glaciers are retreating; water stress and flooding in downstream valleys is increasing.,,,
Laos,17.97,102.6,food_insecurity,30,Malnutrition among highland minority groups is significant; hydropower dams disrupt downstream food systems.,,,
Laos,17.97,102.6,poverty,38,About 18% below the poverty line; highland ethnic minorities face the deepest poverty.,,,
Laos,17.97,102.6,disease,38,Malaria is endemic in remote areas; TB and dengue are significant burdens.,,,
Laos,17.97,102.6,climate,58,Mekong River flooding and drought disrupt the country's predominantly agricultural economy.,,,
Latvia,56.88,24.6,food_insecurity,8,EU member; food generally secure; poverty-related food stress among elderly is the primary concern.,,,
Latvia,56.88,24.6,poverty,14,About 22% at risk of poverty; one of the EU's highest at-risk rates; rural deprivation is significant.,,,
Latvia,56.88,24.6,disease,15,Cardiovascular disease is the leading killer; alcohol-related mortality is among Europe's highest.,,,
Latvia,56.88,24.6,climate,18,Baltic Sea flooding and coastal erosion are primary concerns; warming is accelerating.,,,
Lebanon,33.85,35.86,food_insecurity,45,Economic collapse has pushed 80% of the population into poverty; food prices rose 2,000% in three years.,,
Lebanon,33.85,35.86,poverty,55,80% below the poverty line following the currency collapse; worst economic crisis in Lebanon's history.,,,
Lebanon,33.85,35.86,disease,28,Healthcare system is collapsing; medicine shortages are severe; cholera re-emerged in 2022.,,,
Lebanon,33.85,35.86,climate,42,Water scarcity worsening; wildfires increasing; Beirut port explosion compounds environmental damage.,,,
Lesotho,-29.61,28.23,food_insecurity,42,Drought regularly drives food crises; 25% of children stunted; heavy dependence on South Africa.,,,
Lesotho,-29.61,28.23,poverty,60,About 49% below $1.90/day; remittances from South African mines are the primary income source.,,,
Lesotho,-29.61,28.23,disease,72,HIV prevalence at 21.1%; TB co-infection is the leading cause of death.,,,
Lesotho,-29.61,28.23,climate,52,Recurrent drought threatens highland agriculture; flooding in valleys is increasing.,,,
Liberia,6.43,-9.43,food_insecurity,55,Post-civil-war and post-Ebola fragility; structural poverty limits food access for rural communities.,,,
Liberia,6.43,-9.43,poverty,68,About 44% below $1.90/day; weak institutions and infrastructure perpetuate rural poverty.,,,
Liberia,6.43,-9.43,disease,72,Post-Ebola, the health system never fully recovered; malaria and TB are the leading killers.,,
Liberia,6.43,-9.43,climate,55,Coastal flooding and deforestation are increasing vulnerability; the forest buffer is shrinking rapidly.,,,
Libya,26.34,17.23,food_insecurity,48,Political fragmentation and import dependency leave populations vulnerable to supply disruptions.,,,
Libya,26.34,17.23,poverty,35,Oil wealth is unevenly distributed; conflict has impoverished large parts of the population.,,,
Libya,26.34,17.23,disease,30,Healthcare system is fragmented; conflict has prevented reconstruction of destroyed facilities.,,,
Libya,26.34,17.23,climate,52,Saharan desertification is intensifying; 2023 floods killed 11,000 in Derna due to dam failures.,,
Liechtenstein,47.17,9.56,food_insecurity,3,Among the world's wealthiest microstates; food insecurity is negligible.,,,
Liechtenstein,47.17,9.56,poverty,4,Virtually no poverty; among the world's highest living standards.,,,
Liechtenstein,47.17,9.56,disease,4,Excellent healthcare; disease burden is minimal.,,,
Liechtenstein,47.17,9.56,climate,15,Alpine glacial retreat is visible; mountain ecosystem disruption is the primary concern.,,,
Lithuania,55.17,23.88,food_insecurity,7,EU member; food generally accessible; rural poverty creates localized food stress.,,,
Lithuania,55.17,23.88,poverty,12,About 20% at risk of poverty; elderly and rural populations face the highest rates.,,,
Lithuania,55.17,23.88,disease,15,Cardiovascular disease and cancer dominate; alcohol-related mortality is the highest in the EU.,,,
Lithuania,55.17,23.88,climate,18,Baltic Sea flooding and forest fire risk are growing; warming is accelerating above EU average.,,,
Luxembourg,49.81,6.13,food_insecurity,3,Wealthiest country per capita in the EU; food insecurity is negligible.,,,
Luxembourg,49.81,6.13,poverty,6,About 18% at risk of poverty primarily due to high cost of living; strong social safety net.,,,
Luxembourg,49.81,6.13,disease,5,Excellent healthcare; low disease burden; aging population drives chronic disease.,,,
Luxembourg,49.81,6.13,climate,15,Flooding of the Sure and Moselle Rivers is a recurring but manageable concern.,,,
Madagascar,-20.28,46.87,food_insecurity,67,The southern Grand Sud region experiences near-famine conditions driven by climate shocks.,,,
Madagascar,-20.28,46.87,poverty,77,About 80% below $1.90/day; one of the world's highest extreme poverty rates.,,,
Madagascar,-20.28,46.87,disease,67,Plague outbreaks occur regularly; malaria mortality is high; vaccination coverage is very low.,,,
Madagascar,-20.28,46.87,climate,65,Cyclones Batsirai and Emnati devastated the island in 2022; drought in the south is severe.,,,
Malawi,-13.25,34.3,food_insecurity,64,Repeated cyclone damage to crops and chronic soil degradation drive food insecurity for 4.4 million.,,,
Malawi,-13.25,34.3,poverty,74,About 70% below $1.90/day; one of the world's poorest countries, heavily dependent on rain-fed agriculture.,,
Malawi,-13.25,34.3,disease,74,HIV prevalence at 8.1%; malaria kills 6,000 children annually; TB burden is high.,,
Malawi,-13.25,34.3,climate,67,Cyclone Freddy (2023) was the longest-lasting cyclone on record; killed over 1,000 Malawians.,,
Malaysia,4.21,108.04,food_insecurity,12,Food generally accessible; rising costs are squeezing the urban working poor.,,,
Malaysia,4.21,108.04,poverty,15,About 6% below the poverty line; Sabah and Sarawak face significantly higher rates.,,,
Malaysia,4.21,108.04,disease,18,TB and dengue are primary concerns; healthcare system is strong in urban areas.,,,
Malaysia,4.21,108.04,climate,45,Recurrent monsoon flooding; deforestation accelerating land degradation and river sedimentation.,,,
Maldives,3.2,73.22,food_insecurity,15,Highly import-dependent; economic and logistical disruption can rapidly cause food stress.,,,
Maldives,3.2,73.22,poverty,18,Low poverty but high vulnerability; tourism-dependent economy is fragile.,,,
Maldives,3.2,73.22,disease,15,Low burden; non-communicable diseases are the primary concern.,,,
Maldives,3.2,73.22,climate,85,80% of land is below 1 meter above sea level; the entire nation faces existential threat from sea-level rise.,,,
Mali,17.57,-3.99,food_insecurity,69,Jihadist insurgency and Sahel drought have cut agricultural output across central regions.,,,
Mali,17.57,-3.99,poverty,66,About 49% below $1.90/day; conflict has reversed development gains in the north and center.,,,
Mali,17.57,-3.99,disease,70,Malaria accounts for 30% of child deaths; conflict has made northern healthcare zones inaccessible.,,,
Mali,17.57,-3.99,climate,66,Sahel temperatures rising 1.5x faster than global average; desertification drives farmer-herder conflict.,,,
Malta,35.94,14.38,food_insecurity,5,EU member; food secure; small island geography creates some import dependency.,,,
Malta,35.94,14.38,poverty,10,About 16% at risk of poverty; migrant workers and elderly face the highest rates.,,,
Malta,35.94,14.38,disease,8,Low burden; cardiovascular disease is the primary concern; Mediterranean diet provides protection.,,,
Malta,35.94,14.38,climate,30,Sea-level rise threatens the low-lying island; water scarcity is an acute structural challenge.,,,
Marshall Islands,7.13,171.18,food_insecurity,25,Saltwater intrusion and drought degrade local food production; import dependency is near-total.,,,
Marshall Islands,7.13,171.18,poverty,32,About 20% below the poverty line; remittances from the US are the primary income source.,,,
Marshall Islands,7.13,171.18,disease,28,Diabetes prevalence is among the world's highest; TB is present; healthcare access is limited.,,,
Marshall Islands,7.13,171.18,climate,86,Average elevation under 2 meters; storm surges already contaminating freshwater lenses.,,,
Mauritania,20.29,-10.94,food_insecurity,48,Sahel drought and desert encroachment threaten food security for a majority of the population.,,,
Mauritania,20.29,-10.94,poverty,55,About 31% below the national poverty line; desert agriculture limits economic diversification.,,,
Mauritania,20.29,-10.94,disease,58,High malaria burden; TB rates are elevated; healthcare access outside Nouakchott is minimal.,,,
Mauritania,20.29,-10.94,climate,68,Saharan desertification is consuming agricultural land; water stress is at crisis levels.,,,
Mauritius,-20.29,57.55,food_insecurity,12,Middle-income island; food generally accessible but import dependency creates price vulnerability.,,,
Mauritius,-20.29,57.55,poverty,15,About 10% below the national poverty line; Creole communities face disproportionate exclusion.,,,
Mauritius,-20.29,57.55,disease,18,Non-communicable diseases and diabetes are the primary health burdens.,,,
Mauritius,-20.29,57.55,climate,55,Cyclone exposure is significant; coral reef bleaching threatens tourism and fisheries.,,,
Mexico,23.63,-102.55,food_insecurity,18,Food insecurity affects 20% of the population; cartel activity disrupts rural food supply chains.,,,
Mexico,23.63,-102.55,poverty,32,About 36% below the national poverty line; Guerrero, Chiapas, and Oaxaca face the highest rates.,
Mexico,23.63,-102.55,disease,22,Diabetes and obesity are at epidemic levels; dengue is worsening with climate change.,,,
Mexico,23.63,-102.55,climate,45,Northern drought threatens water supply; Pacific coast faces intensifying hurricane seasons.,,,
Micronesia,7.43,150.55,food_insecurity,22,Remote island geography limits food access; typhoon disruptions are recurrent.,,,
Micronesia,7.43,150.55,poverty,35,About 25% in poverty; economic dependence on US compact grants limits self-sufficiency.,,,
Micronesia,7.43,150.55,disease,30,Diabetes and non-communicable diseases are at epidemic levels; TB is present.,,,
Micronesia,7.43,150.55,climate,80,Low-lying atolls face existential risk; Typhoon Maysak caused catastrophic damage in 2020.,,,
Moldova,47.41,28.37,food_insecurity,18,Food generally accessible but high inflation and poverty limit dietary quality for the poor.,,,
Moldova,47.41,28.37,poverty,28,About 25% below the poverty line; Transnistria conflict and emigration have hollowed out the economy.,,,
Moldova,47.41,28.37,disease,25,TB rates are above the regional average; cardiovascular disease is the leading killer.,,,
Moldova,47.41,28.37,climate,25,Drought has damaged agricultural output significantly in recent years.,,,
Monaco,43.73,7.4,food_insecurity,3,Wealthiest microstate in the world; food insecurity is negligible.,,,
Monaco,43.73,7.4,poverty,3,Virtually no poverty; highest GDP per capita globally.,,,
Monaco,43.73,7.4,disease,4,Excellent healthcare; very low disease burden.,,,
Monaco,43.73,7.4,climate,20,Sea-level rise threatens the coastal principality; Mediterranean heatwaves are intensifying.,,,
Mongolia,46.86,103.85,food_insecurity,20,Dzud (harsh winter) events wipe out livestock herds; nomadic communities face periodic food crises.,,,
Mongolia,46.86,103.85,poverty,28,About 28% below the national poverty line; urban migration is creating new urban poverty.,,,
Mongolia,46.86,103.85,disease,25,TB rates are significantly elevated; air pollution in Ulaanbaatar causes severe respiratory disease.,,,
Mongolia,46.86,103.85,climate,48,Warming is occurring at nearly 3x the global average; dzud events and desertification are intensifying.,,,
Montenegro,42.71,19.37,food_insecurity,12,Food generally accessible; tourism-dependent economy creates some vulnerability to external shocks.,,,
Montenegro,42.71,19.37,poverty,18,About 24% at risk of poverty; rural areas face higher rates; EU accession is a driver of improvement.,,,
Montenegro,42.71,19.37,disease,15,Cardiovascular disease is the primary concern; healthcare system is improving.,,,
Montenegro,42.71,19.37,climate,30,Adriatic coastal flooding and wildfire risk are increasing.,,,
Morocco,31.79,-7.09,food_insecurity,22,Food generally accessible; drought in 2022 caused significant agricultural losses.,,,
Morocco,31.79,-7.09,poverty,30,About 4% in extreme poverty; rural areas have significantly higher rates.,,,
Morocco,31.79,-7.09,disease,25,Moderate burden; cardiovascular disease and diabetes are primary concerns.,,,
Morocco,31.79,-7.09,climate,50,Water stress is intensifying; the High Atlas snowpack is declining, threatening irrigation.,,
Mozambique,-18.67,35.53,food_insecurity,66,Cyclones and northern insurgency compound displacement; 4 million people are acutely food insecure.,,,
Mozambique,-18.67,35.53,poverty,72,About 65% below the poverty line; gas discoveries have not reached the poor.,,,
Mozambique,-18.67,35.53,disease,76,HIV prevalence at 12.6%; one of the world's highest TB burdens and malaria mortality rates.,,,
Mozambique,-18.67,35.53,climate,72,Three major cyclones since 2019 have devastated the northern coast and farmland.,,,
Myanmar,21.92,95.96,food_insecurity,62,Post-coup economic collapse and conflict have tripled the food-insecure population to 13 million.,,,
Myanmar,21.92,95.96,poverty,48,About 40% below the poverty line following the 2021 military coup.,,,
Myanmar,21.92,95.96,disease,52,Military coup has dismantled the health system; TB and malaria are resurging in conflict zones.,,,
Myanmar,21.92,95.96,climate,63,Cyclone Mocha (2023) was the strongest Bay of Bengal storm in decades; coastal communities devastated.,,,
Namibia,-22.96,18.49,food_insecurity,28,Drought stress affects subsistence farmers; northern communal areas face recurrent food crises.,,,
Namibia,-22.96,18.49,poverty,45,About 17% in extreme poverty; world's second-most unequal country by Gini index (~59).,,,
Namibia,-22.96,18.49,disease,55,HIV prevalence at 11.6%; TB co-infection is common; healthcare access in rural areas is limited.,,,
Namibia,-22.96,18.49,climate,58,Southern Africa drying trend is severe; 2019 drought was declared a national emergency.,,,
Nauru,-0.52,166.93,food_insecurity,18,Near-total import dependency; limited domestic food production; fishing is the primary local source.,,,
Nauru,-0.52,166.93,poverty,25,The phosphate boom has ended; the economy is now near-entirely dependent on Australia.,,,
Nauru,-0.52,166.93,disease,35,Diabetes and obesity prevalence are among the world's highest; life expectancy is declining.,,,
Nauru,-0.52,166.93,climate,72,Low-lying atoll facing sea-level rise; storm surges threaten freshwater lens and infrastructure.,,,
Nepal,28.39,84.12,food_insecurity,30,Mountain communities face seasonal food insecurity; malnutrition rates are high in remote districts.,,,
Nepal,28.39,84.12,poverty,38,About 21% below the poverty line; mountain and Terai regions face the deepest poverty.,,,
Nepal,28.39,84.12,disease,38,High TB burden; malaria in the Terai; healthcare access in mountain regions is extremely limited.,,,
Nepal,28.39,84.12,climate,62,Glacial lake outburst floods threaten downstream communities; monsoon flooding is intensifying.,,,
Netherlands,52.13,5.29,food_insecurity,3,Among the world's most food-secure nations; world's second-largest food exporter.,,,
Netherlands,52.13,5.29,poverty,8,About 13% at risk of poverty; housing cost crisis is the primary driver of hardship.,,,
Netherlands,52.13,5.29,disease,6,Low burden; one of the world's best healthcare systems.,,,
Netherlands,52.13,5.29,climate,25,One of the world's most flood-exposed countries; 26% of land is below sea level.,,,
New Zealand,-40.9,174.89,food_insecurity,5,Food secure; Indigenous Māori and Pacific communities face disproportionate food insecurity.,,,
New Zealand,-40.9,174.89,poverty,10,About 14% below the poverty line; child poverty is a political priority.,,,
New Zealand,-40.9,174.89,disease,7,Low burden; strong healthcare system; non-communicable diseases dominate.,,,
New Zealand,-40.9,174.89,climate,30,Cyclone Gabrielle (2023) caused $13bn in damage; flooding and wildfire risk are increasing.,,,
Nicaragua,12.87,-85.21,food_insecurity,46,Rural communities face recurring drought cycles; political crisis has eroded social safety nets.,,,
Nicaragua,12.87,-85.21,poverty,42,About 25% below the poverty line; political repression has suppressed economic development.,,,
Nicaragua,12.87,-85.21,disease,30,Dengue and chikungunya are endemic; the healthcare system has deteriorated under political isolation.,,,
Nicaragua,12.87,-85.21,climate,55,The Dry Corridor drives chronic drought; hurricane flooding hits both coasts.,,,
Niger,17.61,8.08,food_insecurity,77,Poorest country by HDI — recurrent drought, locust swarms, and insurgency leave 4 million acutely hungry.,
Niger,17.61,8.08,poverty,79,Bottom of the Human Development Index; 45% in extreme poverty with virtually no safety net.,,,
Niger,17.61,8.08,disease,80,Highest child mortality in the world; meningitis, cholera, malaria, and measles are all endemic.
Niger,17.61,8.08,climate,70,Most exposed Sahel nation to desertification; 80% of land is desert and expanding southward.,,,
Nigeria,9.08,8.68,food_insecurity,68,Boko Haram and farmer-herder violence in the north; 25 million people acutely food insecure.,,,
Nigeria,9.08,8.68,poverty,47,Most poor people in absolute terms live in Nigeria — over 95 million below $1.90/day.,,,
Nigeria,9.08,8.68,disease,74,Africa's largest disease burden — HIV, TB, malaria, and polio in the northeast are all critical.
Nigeria,9.08,8.68,climate,56,2022 flooding displaced 1.4 million; Lake Chad desiccation is driving northern displacement.,,,
North Korea,40.34,127.51,food_insecurity,52,Decades of mismanagement and sanctions; 42% food insecure; famine conditions reported in rural areas.,,,
North Korea,40.34,127.51,poverty,45,No reliable data; GDP among the world's lowest; widespread material deprivation confirmed by defectors.,,,
North Korea,40.34,127.51,disease,40,Malnutrition compounds disease vulnerability; TB rates are very high; healthcare is systemically underfunded.,,,
North Korea,40.34,127.51,climate,38,Typhoons and flooding regularly devastate crops; soil degradation is severe from decades of intensive farming.,,,
North Macedonia,41.61,21.75,food_insecurity,15,Food generally accessible; economic challenges create food poverty in rural and Roma communities.,,,
North Macedonia,41.61,21.75,poverty,22,About 22% at risk of poverty; regional disparities and ethnic minority exclusion are significant.,,,
North Macedonia,41.61,21.75,disease,18,Cardiovascular disease dominates; air pollution in Tetovo and Bitola is among Europe's worst.,,,
North Macedonia,41.61,21.75,climate,32,Drought and wildfire risk are increasing; Vardar river flow is declining significantly.,,,
Norway,60.47,8.47,food_insecurity,3,Among the world's most food-secure nations; strong welfare state and domestic production.,,,
Norway,60.47,8.47,poverty,6,Among the world's lowest poverty rates; strong oil-funded welfare system.,,,
Norway,60.47,8.47,disease,5,Very low burden; excellent healthcare; aging population drives chronic disease.,,,
Norway,60.47,8.47,climate,15,Arctic warming is dramatic; glaciers retreating; fisheries and indigenous Sami culture threatened.,,,
Oman,21.47,55.98,food_insecurity,10,Heavily import-dependent but wealthy; subsidies and oil revenues prevent food insecurity.,,,
Oman,21.47,55.98,poverty,8,Low poverty; migrant workers face exploitation and poor conditions.,,,
Oman,21.47,55.98,disease,12,Non-communicable diseases dominate; diabetes prevalence is very high.,,,
Oman,21.47,55.98,climate,48,Extreme heat; 2019 Cyclone Mekunu was one of the strongest on record; water scarcity is acute.,,,
